Cluster;Celltype;Comments;;;;;;;;;;
0;NB_immune_contaminated;;;'0' = 'NB_immune_contaminated',;;NB_ery_contaminated;;;;;;
1;NB_ery_contaminated;;;'1' = 'NB_ery_contaminated',;;NB_immune_contaminated;;;;;;
2;NB_heatshock;;;'2' = 'NB_heatshock',;;NB;;;;;;
3;NB;;;'3' = 'NB',;;NB_heatshock;;;;;;
4;NB;;;'4' = 'NB',;;NB;;;;;;
5;NB;;;'5' = 'NB',;;NB;;;;;;
6;NB;;;'6' = 'NB',;;NB;;;;;;
7;NB_heatshock;;;'7' = 'NB_heatshock',;;NB;;;;;;
8;NB;;;'8' = 'NB',;;NB_heatshock;;;;;;
9;NB;;;'9' = 'NB',;;NB;;;;;;
10;NB;;;'10' = 'NB',;;NB;;;;;;
11;NB;;;'11' = 'NB',;;NB;;;;;;
12;NB;;;'12' = 'NB',;;NB;;;;;;
13;NB;;;'13' = 'NB',;;NB;;;;;;
14;NB;;;'14' = 'NB',;;NB;;;;;;
15;NB;;;'15' = 'NB',;;NB;;;;;;
16;NB;;;'16' = 'NB',;;NB;;;;;;
17;NB_heatshock;;;'17' = 'NB_heatshock',;;NB_mitochondrial;;;;;;
18;NB_ery_contaminated;;;'18' = 'NB_ery_contaminated',;;NB_heatshock;;;;;;
19;NB;;;'19' = 'NB',;;NB_heatshock;;;;;;
20;NB;;;'20' = 'NB',;;NB;;;;;;
21;NB;;;'21' = 'NB',;;NB;;;;;;
22;NB;;;'22' = 'NB',;;NB;;;;;;
23;NB_ery_contaminated;;;'23' = 'NB_ery_contaminated',;;NB;;;;;;
24;NB;;;'24' = 'NB',;;NB_ery_contaminated;;;;;;
25;NB;;;'25' = 'NB',;;NB;;;;;;
26;NB_heatshock;;;'26' = 'NB_heatshock',;;NB_heatshock;;;;;;
27;NB;;;'27' = 'NB',;;NB;;;;;;
28;NB;;;'28' = 'NB',;;NB_heatshock;;;;;;
29;NB_ery_contaminated;;;'29' = 'NB_ery_contaminated',;;NB;;;;;;
30;NB;;;'30' = 'NB',;;NB;;;;;;
31;NB;;;'31' = 'NB',;;NB;;;;;;
32;NB;;;'32' = 'NB',;;NB;;;;;;
33;NB;;;'33' = 'NB',;;NB;;;;;;
34;NB;;;'34' = 'NB',;;NB;;;;;;
35;NB;;;'35' = 'NB',;;NB;;;;;;
;;;;;;NB;;;;;;
;;;;;;NB;;;;;;
